eff_distance_m,time_diff_s,same_type,causally_linked,both_person_type,both_at_home,any_unknown_anchor,same_user,min_user_ratio,sum_gps_error,label,source
24.7,186.0,1,0,0,0,0,0,0.64,58.5,1,عضوي موجب
50.2,17.0,1,0,0,0,1,0,0.789,24.6,1,عضوي موجب
23.9,2047.2,1,0,0,0,0,0,0.617,30.4,0,نفس المكان بفاصل زمني
0.0,156.0,1,0,0,0,0,0,0.868,53.5,1,عضوي موجب
1479.6,3417049.0,1,0,0,0,0,0,0.868,40.2,0,عضوي سالب
461.5,33.0,1,0,0,0,0,0,0.751,76.4,1,تشتت واسع
6743.0,19336753.0,0,1,0,0,0,0,0.796,64.6,0,عضوي سالب
86.8,557.0,1,0,1,1,0,0,0.74,12.5,1,عضوي موجب
0.0,187.0,1,0,0,0,0,0,0.642,95.4,1,تشتت واسع
1019.4,2228709.0,1,0,0,0,0,0,0.739,67.8,0,عضوي سالب
3705.8,11587834.0,0,1,0,0,0,0,0.611,49.1,0,عضوي سالب
70.7,304.0,1,0,0,0,0,0,0.874,76.1,1,عضوي موجب
4743.6,7068564.0,0,1,0,0,1,0,0.807,36.9,0,عضوي سالب
109.8,337.0,1,0,0,0,0,0,0.812,43.1,1,عضوي موجب
0.0,176.0,1,0,0,0,1,0,0.515,56.1,1,عضوي موجب
1438.2,12546920.0,0,1,0,0,0,0,0.868,37.7,0,عضوي سالب
6043.0,11805157.0,0,0,0,0,0,0,0.76,62.2,0,عضوي سالب
66.2,85.0,1,0,0,0,0,0,0.616,30.6,1,عضوي موجب
55.6,272.0,1,0,0,0,1,0,0.928,43.6,1,عضوي موجب
8854.7,3079655.0,0,1,0,0,0,0,0.789,53.8,0,عضوي سالب
0.0,315.0,1,0,0,1,0,0,0.59,76.1,1,عضوي موجب
4971.1,12608120.0,0,0,0,0,0,0,0.888,58.5,0,عضوي سالب
314.5,91.0,1,0,0,0,1,0,0.679,40.2,1,مشاهدون بعيدون
0.0,901.7,1,0,0,0,0,0,0.63,33.4,1,مبلغ متأخر
37.7,164.0,1,0,0,0,1,0,0.177,20.4,0,كاذب انتهازي
29.6,61.0,1,0,0,0,0,0,0.853,65.5,1,عضوي موجب
111.0,301.0,1,0,0,0,0,0,0.861,57.4,1,عضوي موجب
0.0,191.0,1,0,0,1,0,0,0.788,52.4,1,عضوي موجب
29.9,30.0,1,0,0,0,0,0,0.876,60.8,1,عضوي موجب
11842.5,1021857.0,0,1,0,0,0,0,0.687,52.9,0,عضوي سالب
255.2,83.0,1,0,0,0,0,0,0.661,78.9,1,تشتت واسع
0.0,188.0,1,0,0,0,0,0,0.776,57.9,1,مبلغ متأخر
5775.9,18730281.0,0,1,0,0,1,0,0.856,75.8,0,عضوي سالب
67.8,191.0,1,0,0,0,0,0,0.699,42.1,1,عضوي موجب
191.1,361.0,1,0,0,0,0,0,0.73,79.2,1,تشتت واسع
0.0,298.0,1,0,0,1,0,0,0.885,45.0,1,انفجار مركب
3908.5,23211069.0,0,1,0,0,0,0,0.87,71.0,0,عضوي سالب
175.8,82.0,1,0,0,0,0,0,0.689,76.9,1,تشتت واسع
290.0,143.0,1,0,0,0,0,0,0.718,20.4,1,مشاهدون بعيدون
44.8,459.0,1,0,1,1,0,0,0.813,54.9,1,عضوي موجب
68.4,41.0,1,0,0,0,1,0,0.604,77.8,1,عضوي موجب
5813.7,12260134.0,1,0,0,0,1,0,0.783,35.4,0,عضوي سالب
0.0,42.0,1,0,0,0,0,0,0.749,47.3,1,نفس المكان بفاصل زمني
2956.3,14006064.0,0,1,0,0,0,0,0.821,75.9,0,عضوي سالب
23.9,243.0,1,0,0,0,1,0,0.619,55.9,1,عضوي موجب
55.5,175.0,1,0,0,0,1,0,0.878,70.7,1,عضوي موجب
